Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,1021.687,1021.687,1021.687,1021.687,1021.687,10000000000
2017-01-13,1023.9043,1023.9043,1023.9043,1023.9043,1023.9043,10000000000
2017-01-20,1022.2497,1022.2497,1022.2497,1022.2497,1022.2497,10000000000
2017-01-27,1025.1906,1025.1906,1025.1906,1025.1906,1025.1906,10000000000
2017-02-03,1030.4708,1030.4708,1030.4708,1030.4708,1030.4708,10000000000
2017-02-10,1035.846,1035.846,1035.846,1035.846,1035.846,10000000000
2017-02-17,1035.7707,1035.7707,1035.7707,1035.7707,1035.7707,10000000000
2017-02-24,1043.204,1043.204,1043.204,1043.204,1043.204,10000000000
2017-03-03,1039.9382,1039.9382,1039.9382,1039.9382,1039.9382,10000000000
2017-03-10,1033.046,1033.046,1033.046,1033.046,1033.046,10000000000
2017-03-17,1039.2293,1039.2293,1039.2293,1039.2293,1039.2293,10000000000
2017-03-24,1045.4148,1045.4148,1045.4148,1045.4148,1045.4148,10000000000
2017-03-31,1046.5866,1046.5866,1046.5866,1046.5866,1046.5866,10000000000
2017-04-07,1049.5018,1049.5018,1049.5018,1049.5018,1049.5018,10000000000
2017-04-14,1053.6803,1053.6803,1053.6803,1053.6803,1053.6803,10000000000
2017-04-21,1056.5872,1056.5872,1056.5872,1056.5872,1056.5872,10000000000
2017-04-28,1059.6214,1059.6214,1059.6214,1059.6214,1059.6214,10000000000
2017-05-05,1057.9319,1057.9319,1057.9319,1057.9319,1057.9319,10000000000
2017-05-12,1061.742,1061.742,1061.742,1061.742,1061.742,10000000000
2017-05-19,1061.8689,1061.8689,1061.8689,1061.8689,1061.8689,10000000000
2017-05-26,1065.5046,1065.5046,1065.5046,1065.5046,1065.5046,10000000000
2017-06-02,1069.7968,1069.7968,1069.7968,1069.7968,1069.7968,10000000000
2017-06-09,1069.5777,1069.5777,1069.5777,1069.5777,1069.5777,10000000000
2017-06-16,1070.7076,1070.7076,1070.7076,1070.7076,1070.7076,10000000000
2017-06-23,1068.682,1068.682,1068.682,1068.682,1068.682,10000000000
2017-06-30,1065.1086,1065.1086,1065.1086,1065.1086,1065.1086,10000000000
2017-07-07,1059.1142,1059.1142,1059.1142,1059.1142,1059.1142,10000000000
2017-07-14,1068.1262,1068.1262,1068.1262,1068.1262,1068.1262,10000000000
2017-07-21,1074.2589,1074.2589,1074.2589,1074.2589,1074.2589,10000000000
2017-07-28,1073.9125,1073.9125,1073.9125,1073.9125,1073.9125,10000000000
2017-08-04,1076.9429,1076.9429,1076.9429,1076.9429,1076.9429,10000000000
2017-08-11,1075.8681,1075.8681,1075.8681,1075.8681,1075.8681,10000000000
2017-08-18,1080.111,1080.111,1080.111,1080.111,1080.111,10000000000
2017-08-25,1084.4428,1084.4428,1084.4428,1084.4428,1084.4428,10000000000
2017-09-01,1088.1343,1088.1343,1088.1343,1088.1343,1088.1343,10000000000
2017-09-08,1094.1246,1094.1246,1094.1246,1094.1246,1094.1246,10000000000
2017-09-15,1092.028,1092.028,1092.028,1092.028,1092.028,10000000000
2017-09-22,1089.7235,1089.7235,1089.7235,1089.7235,1089.7235,10000000000
2017-09-29,1089.332,1089.332,1089.332,1089.332,1089.332,10000000000
2017-10-06,1089.6483,1089.6483,1089.6483,1089.6483,1089.6483,10000000000
2017-10-13,1093.7914,1093.7914,1093.7914,1093.7914,1093.7914,10000000000
2017-10-20,1093.0218,1093.0218,1093.0218,1093.0218,1093.0218,10000000000
2017-10-27,1090.6271,1090.6271,1090.6271,1090.6271,1090.6271,10000000000
2017-11-03,1091.5485,1091.5485,1091.5485,1091.5485,1091.5485,10000000000
2017-11-10,1083.6825,1083.6825,1083.6825,1083.6825,1083.6825,10000000000
2017-11-17,1088.4716,1088.4716,1088.4716,1088.4716,1088.4716,10000000000
2017-11-24,1092.1266,1092.1266,1092.1266,1092.1266,1092.1266,10000000000
2017-12-01,1093.104,1093.104,1093.104,1093.104,1093.104,10000000000
2017-12-08,1093.1315,1093.1315,1093.1315,1093.1315,1093.1315,10000000000
2017-12-15,1095.7824,1095.7824,1095.7824,1095.7824,1095.7824,10000000000
2017-12-22,1093.4859,1093.4859,1093.4859,1093.4859,1093.4859,10000000000
2017-12-29,1096.0681,1096.0681,1096.0681,1096.0681,1096.0681,10000000000
2018-01-05,1098.8516,1098.8516,1098.8516,1098.8516,1098.8516,10000000000
2018-01-12,1096.6807,1096.6807,1096.6807,1096.6807,1096.6807,10000000000
2018-01-19,1094.2748,1094.2748,1094.2748,1094.2748,1094.2748,10000000000
2018-01-26,1096.0401,1096.0401,1096.0401,1096.0401,1096.0401,10000000000
2018-02-02,1088.7474,1088.7474,1088.7474,1088.7474,1088.7474,10000000000
2018-02-09,1075.1218,1075.1218,1075.1218,1075.1218,1075.1218,10000000000
2018-02-16,1078.1236,1078.1236,1078.1236,1078.1236,1078.1236,10000000000
