Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,242.01,242.01,242.01,242.01,242.01,10000000000
2017-01-13,242.24,242.24,242.24,242.24,242.24,10000000000
2017-01-20,241.52,241.52,241.52,241.52,241.52,10000000000
2017-01-27,241.29,241.29,241.29,241.29,241.29,10000000000
2017-02-03,242.08,242.08,242.08,242.08,242.08,10000000000
2017-02-10,243.07,243.07,243.07,243.07,243.07,10000000000
2017-02-17,243.8,243.8,243.8,243.8,243.8,10000000000
2017-02-24,245.38,245.38,245.38,245.38,245.38,10000000000
2017-03-03,244.17,244.17,244.17,244.17,244.17,10000000000
2017-03-10,243.17,243.17,243.17,243.17,243.17,10000000000
2017-03-17,243.76,243.76,243.76,243.76,243.76,10000000000
2017-03-24,244.06,244.06,244.06,244.06,244.06,10000000000
2017-03-31,245.1,245.1,245.1,245.1,245.1,10000000000
2017-04-07,246.22,246.22,246.22,246.22,246.22,10000000000
2017-04-14,246.74,246.74,246.74,246.74,246.74,10000000000
2017-04-21,246.33,246.33,246.33,246.33,246.33,10000000000
2017-04-28,246.73,246.73,246.73,246.73,246.73,10000000000
2017-05-05,246.37,246.37,246.37,246.37,246.37,10000000000
2017-05-12,247.23,247.23,247.23,247.23,247.23,10000000000
2017-05-19,247.2,247.2,247.2,247.2,247.2,10000000000
2017-05-26,248.05,248.05,248.05,248.05,248.05,10000000000
2017-06-02,248.55,248.55,248.55,248.55,248.55,10000000000
2017-06-09,248.8,248.8,248.8,248.8,248.8,10000000000
2017-06-16,248.9,248.9,248.9,248.9,248.9,10000000000
2017-06-23,249.33,249.33,249.33,249.33,249.33,10000000000
2017-06-30,247.11,247.11,247.11,247.11,247.11,10000000000
2017-07-07,246.92,246.92,246.92,246.92,246.92,10000000000
2017-07-14,247.66,247.66,247.66,247.66,247.66,10000000000
2017-07-21,249.34,249.34,249.34,249.34,249.34,10000000000
2017-07-28,249.37,249.37,249.37,249.37,249.37,10000000000
2017-08-04,250.47,250.47,250.47,250.47,250.47,10000000000
2017-08-11,251.14,251.14,251.14,251.14,251.14,10000000000
2017-08-18,251.07,251.07,251.07,251.07,251.07,10000000000
2017-08-25,251.42,251.42,251.42,251.42,251.42,10000000000
2017-09-01,251.37,251.37,251.37,251.37,251.37,10000000000
2017-09-08,252.07,252.07,252.07,252.07,252.07,10000000000
2017-09-15,250.25,250.25,250.25,250.25,250.25,10000000000
2017-09-22,250.35,250.35,250.35,250.35,250.35,10000000000
2017-09-29,250.61,250.61,250.61,250.61,250.61,10000000000
2017-10-06,250.81,250.81,250.81,250.81,250.81,10000000000
2017-10-13,251.73,251.73,251.73,251.73,251.73,10000000000
2017-10-20,251.87,251.87,251.87,251.87,251.87,10000000000
2017-10-27,252.79,252.79,252.79,252.79,252.79,10000000000
2017-11-03,253.94,253.94,253.94,253.94,253.94,10000000000
2017-11-10,253.11,253.11,253.11,253.11,253.11,10000000000
2017-11-17,253.21,253.21,253.21,253.21,253.21,10000000000
2017-11-24,253.63,253.63,253.63,253.63,253.63,10000000000
2017-12-01,254.39,254.39,254.39,254.39,254.39,10000000000
2017-12-08,254.48,254.48,254.48,254.48,254.48,10000000000
2017-12-15,255.0,255.0,255.0,255.0,255.0,10000000000
