Date,Open,High,Low,Close,Adj Close,Volume
2017-01-06,1831.42,1831.42,1831.42,1831.42,1831.42,10000000000
2017-01-13,1835.04,1835.04,1835.04,1835.04,1835.04,10000000000
2017-01-20,1833.88,1833.88,1833.88,1833.88,1833.88,10000000000
2017-01-27,1841.42,1841.42,1841.42,1841.42,1841.42,10000000000
2017-02-03,1847.56,1847.56,1847.56,1847.56,1847.56,10000000000
2017-02-10,1850.04,1850.04,1850.04,1850.04,1850.04,10000000000
2017-02-17,1853.77,1853.77,1853.77,1853.77,1853.77,10000000000
2017-02-24,1863.39,1863.39,1863.39,1863.39,1863.39,10000000000
2017-03-03,1869.51,1869.51,1869.51,1869.51,1869.51,10000000000
2017-03-10,1846.48,1846.48,1846.48,1846.48,1846.48,10000000000
2017-03-17,1850.54,1850.54,1850.54,1850.54,1850.54,10000000000
2017-03-24,1846.46,1846.46,1846.46,1846.46,1846.46,10000000000
2017-03-31,1862.81,1862.81,1862.81,1862.81,1862.81,10000000000
2017-04-07,1868.99,1868.99,1868.99,1868.99,1868.99,10000000000
2017-04-14,1869.5,1869.5,1869.5,1869.5,1869.5,10000000000
2017-04-21,1871.95,1871.95,1871.95,1871.95,1871.95,10000000000
2017-04-28,1884.32,1884.32,1884.32,1884.32,1884.32,10000000000
2017-05-05,1882.41,1882.41,1882.41,1882.41,1882.41,10000000000
2017-05-12,1888.04,1888.04,1888.04,1888.04,1888.04,10000000000
2017-05-19,1892.8,1892.8,1892.8,1892.8,1892.8,10000000000
2017-05-26,1898.84,1898.84,1898.84,1898.84,1898.84,10000000000
2017-06-02,1904.72,1904.72,1904.72,1904.72,1904.72,10000000000
2017-06-09,1903.08,1903.08,1903.08,1903.08,1903.08,10000000000
2017-06-16,1904.95,1904.95,1904.95,1904.95,1904.95,10000000000
2017-06-23,1897.9,1897.9,1897.9,1897.9,1897.9,10000000000
2017-06-30,1903.27,1903.27,1903.27,1903.27,1903.27,10000000000
2017-07-07,1898.78,1898.78,1898.78,1898.78,1898.78,10000000000
2017-07-14,1908.79,1908.79,1908.79,1908.79,1908.79,10000000000
2017-07-21,1920.1,1920.1,1920.1,1920.1,1920.1,10000000000
2017-07-28,1924.21,1924.21,1924.21,1924.21,1924.21,10000000000
2017-08-04,1925.13,1925.13,1925.13,1925.13,1925.13,10000000000
2017-08-11,1910.62,1910.62,1910.62,1910.62,1910.62,10000000000
2017-08-18,1911.05,1911.05,1911.05,1911.05,1911.05,10000000000
2017-08-25,1917.25,1917.25,1917.25,1917.25,1917.25,10000000000
2017-09-01,1924.77,1924.77,1924.77,1924.77,1924.77,10000000000
2017-09-08,1926.92,1926.92,1926.92,1926.92,1926.92,10000000000
2017-09-15,1931.14,1931.14,1931.14,1931.14,1931.14,10000000000
2017-09-22,1935.11,1935.11,1935.11,1935.11,1935.11,10000000000
2017-09-29,1940.87,1940.87,1940.87,1940.87,1940.87,10000000000
2017-10-06,1943.95,1943.95,1943.95,1943.95,1943.95,10000000000
2017-10-13,1944.51,1944.51,1944.51,1944.51,1944.51,10000000000
2017-10-20,1950.5,1950.5,1950.5,1950.5,1950.5,10000000000
2017-10-27,1948.07,1948.07,1948.07,1948.07,1948.07,10000000000
2017-11-03,1948.84,1948.84,1948.84,1948.84,1948.84,10000000000
2017-11-10,1933.9,1933.9,1933.9,1933.9,1933.9,10000000000
2017-11-17,1934.13,1934.13,1934.13,1934.13,1934.13,10000000000
2017-11-24,1941.64,1941.64,1941.64,1941.64,1941.64,10000000000
2017-12-01,1944.2,1944.2,1944.2,1944.2,1944.2,10000000000
2017-12-08,1945.14,1945.14,1945.14,1945.14,1945.14,10000000000
2017-12-15,1945.78,1945.78,1945.78,1945.78,1945.78,10000000000
2017-12-22,1945.83,1945.83,1945.83,1945.83,1945.83,10000000000
2017-12-29,1949.97,1949.97,1949.97,1949.97,1949.97,10000000000
2018-01-05,1964.27,1964.27,1964.27,1964.27,1964.27,10000000000
2018-01-12,1963.48,1963.48,1963.48,1963.48,1963.48,10000000000
2018-01-19,1961.88,1961.88,1961.88,1961.88,1961.88,10000000000
2018-01-26,1967.27,1967.27,1967.27,1967.27,1967.27,10000000000
2018-02-02,1953.83,1953.83,1953.83,1953.83,1953.83,10000000000
2018-02-09,1925.19,1925.19,1925.19,1925.19,1925.19,10000000000
2018-02-16,1940.65,1940.65,1940.65,1940.65,1940.65,10000000000
2018-02-23,1939.34,1939.34,1939.34,1939.34,1939.34,10000000000
2018-03-02,1935.45,1935.45,1935.45,1935.45,1935.45,10000000000
2018-03-09,1942.16,1942.16,1942.16,1942.16,1942.16,10000000000
2018-03-16,1938.47,1938.47,1938.47,1938.47,1938.47,10000000000
2018-03-23,1931.08,1931.08,1931.08,1931.08,1931.08,10000000000
2018-03-30,1933.24,1933.24,1933.24,1933.24,1933.24,10000000000
2018-04-06,1938.86,1938.86,1938.86,1938.86,1938.86,10000000000
2018-04-13,1954.24,1954.24,1954.24,1954.24,1954.24,10000000000
2018-04-20,1953.16,1953.16,1953.16,1953.16,1953.16,10000000000
2018-04-27,1945.51,1945.51,1945.51,1945.51,1945.51,10000000000
2018-05-04,1944.24,1944.24,1944.24,1944.24,1944.24,10000000000
2018-05-11,1949.67,1949.67,1949.67,1949.67,1949.67,10000000000
2018-05-18,1945.93,1945.93,1945.93,1945.93,1945.93,10000000000
2018-05-25,1945.72,1945.72,1945.72,1945.72,1945.72,10000000000
2018-06-01,1946.99,1946.99,1946.99,1946.99,1946.99,10000000000
2018-06-08,1955.51,1955.51,1955.51,1955.51,1955.51,10000000000
2018-06-15,1964.29,1964.29,1964.29,1964.29,1964.29,10000000000
2018-06-22,1963.49,1963.49,1963.49,1963.49,1963.49,10000000000
2018-06-29,1953.09,1953.09,1953.09,1953.09,1953.09,10000000000
2018-07-06,1953.33,1953.33,1953.33,1953.33,1953.33,10000000000
2018-07-13,1963.0,1963.0,1963.0,1963.0,1963.0,10000000000
2018-07-20,1964.7,1964.7,1964.7,1964.7,1964.7,10000000000
2018-07-27,1971.04,1971.04,1971.04,1971.04,1971.04,10000000000
2018-08-03,1977.59,1977.59,1977.59,1977.59,1977.59,10000000000
2018-08-10,1979.96,1979.96,1979.96,1979.96,1979.96,10000000000
2018-08-17,1980.33,1980.33,1980.33,1980.33,1980.33,10000000000
2018-08-24,1987.43,1987.43,1987.43,1987.43,1987.43,10000000000
2018-08-31,1988.97,1988.97,1988.97,1988.97,1988.97,10000000000
2018-09-07,1986.28,1986.28,1986.28,1986.28,1986.28,10000000000
2018-09-14,1995.28,1995.28,1995.28,1995.28,1995.28,10000000000
2018-09-21,1996.64,1996.64,1996.64,1996.64,1996.64,10000000000
2018-09-28,2000.04,2000.04,2000.04,2000.04,2000.04,10000000000
2018-10-05,1991.31,1991.31,1991.31,1991.31,1991.31,10000000000
2018-10-12,1982.23,1982.23,1982.23,1982.23,1982.23,10000000000
2018-10-19,1981.2,1981.2,1981.2,1981.2,1981.2,10000000000
2018-10-26,1967.28,1967.28,1967.28,1967.28,1967.28,10000000000
2018-11-02,1971.7,1971.7,1971.7,1971.7,1971.7,10000000000
2018-11-09,1973.92,1973.92,1973.92,1973.92,1973.92,10000000000
2018-11-16,1948.39,1948.39,1948.39,1948.39,1948.39,10000000000
2018-11-23,1942.68,1942.68,1942.68,1942.68,1942.68,10000000000
2018-11-30,1951.14,1951.14,1951.14,1951.14,1951.14,10000000000
2018-12-07,1948.32,1948.32,1948.32,1948.32,1948.32,10000000000
2018-12-14,1950.56,1950.56,1950.56,1950.56,1950.56,10000000000
2018-12-21,1904.43,1904.43,1904.43,1904.43,1904.43,10000000000
2018-12-28,1906.39,1906.39,1906.39,1906.39,1906.39,10000000000
2019-01-04,1932.54,1932.54,1932.54,1932.54,1932.54,10000000000
2019-01-11,1969.14,1969.14,1969.14,1969.14,1969.14,10000000000
2019-01-18,1982.64,1982.64,1982.64,1982.64,1982.64,10000000000
2019-01-25,1982.43,1982.43,1982.43,1982.43,1982.43,10000000000
2019-02-01,1998.17,1998.17,1998.17,1998.17,1998.17,10000000000
2019-02-08,2001.5,2001.5,2001.5,2001.5,2001.5,10000000000
2019-02-15,2012.74,2012.74,2012.74,2012.74,2012.74,10000000000
2019-02-22,2019.77,2019.77,2019.77,2019.77,2019.77,10000000000
2019-03-01,2029.65,2029.65,2029.65,2029.65,2029.65,10000000000
2019-03-08,2020.39,2020.39,2020.39,2020.39,2020.39,10000000000
2019-03-15,2035.21,2035.21,2035.21,2035.21,2035.21,10000000000
2019-03-22,2040.89,2040.89,2040.89,2040.89,2040.89,10000000000
2019-03-29,2047.94,2047.94,2047.94,2047.94,2047.94,10000000000
2019-04-05,2058.15,2058.15,2058.15,2058.15,2058.15,10000000000
2019-04-12,2069.82,2069.82,2069.82,2069.82,2069.82,10000000000
2019-04-19,2070.44,2070.44,2070.44,2070.44,2070.44,10000000000
2019-04-26,2074.66,2074.66,2074.66,2074.66,2074.66,10000000000
2019-05-03,2077.39,2077.39,2077.39,2077.39,2077.39,10000000000
2019-05-10,2066.82,2066.82,2066.82,2066.82,2066.82,10000000000
2019-05-17,2065.38,2065.38,2065.38,2065.38,2065.38,10000000000
2019-05-24,2063.41,2063.41,2063.41,2063.41,2063.41,10000000000
2019-05-31,2052.37,2052.37,2052.37,2052.37,2052.37,10000000000
2019-06-07,2071.14,2071.14,2071.14,2071.14,2071.14,10000000000
2019-06-14,2078.61,2078.61,2078.61,2078.61,2078.61,10000000000
2019-06-21,2099.64,2099.64,2099.64,2099.64,2099.64,10000000000
2019-06-28,2099.15,2099.15,2099.15,2099.15,2099.15,10000000000
2019-07-05,2104.62,2104.62,2104.62,2104.62,2104.62,10000000000
2019-07-12,2103.46,2103.46,2103.46,2103.46,2103.46,10000000000
2019-07-19,2100.31,2100.31,2100.31,2100.31,2100.31,10000000000
2019-07-26,2110.65,2110.65,2110.65,2110.65,2110.65,10000000000
2019-08-02,2104.13,2104.13,2104.13,2104.13,2104.13,10000000000
2019-08-09,2097.57,2097.57,2097.57,2097.57,2097.57,10000000000
2019-08-16,2093.93,2093.93,2093.93,2093.93,2093.93,10000000000
2019-08-23,2109.08,2109.08,2109.08,2109.08,2109.08,10000000000
2019-08-30,2119.43,2119.43,2119.43,2119.43,2119.43,10000000000
2019-09-06,2125.15,2125.15,2125.15,2125.15,2125.15,10000000000
2019-09-13,2129.21,2129.21,2129.21,2129.21,2129.21,10000000000
2019-09-20,2134.09,2134.09,2134.09,2134.09,2134.09,10000000000
2019-09-27,2127.36,2127.36,2127.36,2127.36,2127.36,10000000000
2019-10-04,2116.98,2116.98,2116.98,2116.98,2116.98,10000000000
2019-10-11,2123.47,2123.47,2123.47,2123.47,2123.47,10000000000
2019-10-18,2131.81,2131.81,2131.81,2131.81,2131.81,10000000000
2019-10-25,2138.33,2138.33,2138.33,2138.33,2138.33,10000000000
2019-11-01,2135.57,2135.57,2135.57,2135.57,2135.57,10000000000
2019-11-08,2136.99,2136.99,2136.99,2136.99,2136.99,10000000000
2019-11-15,2135.87,2135.87,2135.87,2135.87,2135.87,10000000000
2019-11-22,2130.95,2130.95,2130.95,2130.95,2130.95,10000000000
2019-11-29,2139.99,2139.99,2139.99,2139.99,2139.99,10000000000
2019-12-06,2147.57,2147.57,2147.57,2147.57,2147.57,10000000000
2019-12-13,2163.81,2163.81,2163.81,2163.81,2163.81,10000000000
2019-12-20,2178.61,2178.61,2178.61,2178.61,2178.61,10000000000
2019-12-27,2182.63,2182.63,2182.63,2182.63,2182.63,10000000000
2020-01-03,2187.15,2187.15,2187.15,2187.15,2187.15,10000000000
2020-01-10,2192.25,2192.25,2192.25,2192.25,2192.25,10000000000
2020-01-17,2198.28,2198.28,2198.28,2198.28,2198.28,10000000000
2020-01-24,2188.95,2188.95,2188.95,2188.95,2188.95,10000000000
2020-01-31,2183.35,2183.35,2183.35,2183.35,2183.35,10000000000
2020-02-07,2196.88,2196.88,2196.88,2196.88,2196.88,10000000000
2020-02-14,2207.09,2207.09,2207.09,2207.09,2207.09,10000000000
2020-02-21,2209.12,2209.12,2209.12,2209.12,2209.12,10000000000
2020-02-28,2152.56,2152.56,2152.56,2152.56,2152.56,10000000000
2020-03-06,2143.0,2143.0,2143.0,2143.0,2143.0,10000000000
2020-03-13,1989.78,1989.78,1989.78,1989.78,1989.78,10000000000
2020-03-20,1787.42,1787.42,1787.42,1787.42,1787.42,10000000000
2020-03-27,1877.94,1877.94,1877.94,1877.94,1877.94,10000000000
2020-04-03,1866.79,1866.79,1866.79,1866.79,1866.79,10000000000
2020-04-10,1966.33,1966.33,1966.33,1966.33,1966.33,10000000000
2020-04-17,2017.47,2017.47,2017.47,2017.47,2017.47,10000000000
2020-04-24,1975.01,1975.01,1975.01,1975.01,1975.01,10000000000
2020-05-01,1988.12,1988.12,1988.12,1988.12,1988.12,10000000000
2020-05-08,2004.61,2004.61,2004.61,2004.61,2004.61,10000000000
2020-05-15,1991.15,1991.15,1991.15,1991.15,1991.15,10000000000
2020-05-22,2042.82,2042.82,2042.82,2042.82,2042.82,10000000000
2020-05-29,2079.5,2079.5,2079.5,2079.5,2079.5,10000000000
2020-06-05,2143.91,2143.91,2143.91,2143.91,2143.91,10000000000
2020-06-12,2114.1,2114.1,2114.1,2114.1,2114.1,10000000000
2020-06-19,2132.49,2132.49,2132.49,2132.49,2132.49,10000000000
2020-06-26,2107.93,2107.93,2107.93,2107.93,2107.93,10000000000
2020-07-03,2115.24,2115.24,2115.24,2115.24,2115.24,10000000000
2020-07-10,2122.32,2122.32,2122.32,2122.32,2122.32,10000000000
2020-07-17,2146.46,2146.46,2146.46,2146.46,2146.46,10000000000
2020-07-24,2179.98,2179.98,2179.98,2179.98,2179.98,10000000000
2020-07-31,2198.3,2198.3,2198.3,2198.3,2198.3,10000000000
2020-08-07,2210.69,2210.69,2210.69,2210.69,2210.69,10000000000
2020-08-14,2200.22,2200.22,2200.22,2200.22,2200.22,10000000000
2020-08-21,2201.38,2201.38,2201.38,2201.38,2201.38,10000000000
2020-08-28,2217.93,2217.93,2217.93,2217.93,2217.93,10000000000
2020-09-04,2216.94,2216.94,2216.94,2216.94,2216.94,10000000000
2020-09-11,2212.0,2212.0,2212.0,2212.0,2212.0,10000000000
2020-09-18,2214.21,2214.21,2214.21,2214.21,2214.21,10000000000
2020-09-25,2180.44,2180.44,2180.44,2180.44,2180.44,10000000000
2020-10-02,2199.8,2199.8,2199.8,2199.8,2199.8,10000000000
2020-10-09,2226.14,2226.14,2226.14,2226.14,2226.14,10000000000
2020-10-16,2227.4,2227.4,2227.4,2227.4,2227.4,10000000000
2020-10-23,2231.0,2231.0,2231.0,2231.0,2231.0,10000000000
2020-10-30,2207.52,2207.52,2207.52,2207.52,2207.52,10000000000
2020-11-06,2254.14,2254.14,2254.14,2254.14,2254.14,10000000000
2020-11-13,2264.9,2264.9,2264.9,2264.9,2264.9,10000000000
2020-11-20,2278.77,2278.77,2278.77,2278.77,2278.77,10000000000
2020-11-27,2293.18,2293.18,2293.18,2293.18,2293.18,10000000000
2020-12-04,2312.97,2312.97,2312.97,2312.97,2312.97,10000000000
2020-12-11,2317.07,2317.07,2317.07,2317.07,2317.07,10000000000
2020-12-18,2324.64,2324.64,2324.64,2324.64,2324.64,10000000000
2020-12-25,2326.43,2326.43,2326.43,2326.43,2326.43,10000000000
2021-01-01,2338.05,2338.05,2338.05,2338.05,2338.05,10000000000
2021-01-08,2343.54,2343.54,2343.54,2343.54,2343.54,10000000000
2021-01-15,2346.26,2346.26,2346.26,2346.26,2346.26,10000000000
2021-01-22,2349.23,2349.23,2349.23,2349.23,2349.23,10000000000
2021-01-29,2345.78,2345.78,2345.78,2345.78,2345.78,10000000000
2021-02-05,2362.3,2362.3,2362.3,2362.3,2362.3,10000000000
2021-02-12,2369.47,2369.47,2369.47,2369.47,2369.47,10000000000
2021-02-19,2368.32,2368.32,2368.32,2368.32,2368.32,10000000000
2021-02-26,2354.4,2354.4,2354.4,2354.4,2354.4,10000000000
2021-03-05,2350.68,2350.68,2350.68,2350.68,2350.68,10000000000
2021-03-12,2349.31,2349.31,2349.31,2349.31,2349.31,10000000000
2021-03-19,2336.8,2336.8,2336.8,2336.8,2336.8,10000000000
2021-03-26,2351.62,2351.62,2351.62,2351.62,2351.62,10000000000
2021-04-02,2362.17,2362.17,2362.17,2362.17,2362.17,10000000000
2021-04-09,2374.72,2374.72,2374.72,2374.72,2374.72,10000000000
2021-04-16,2379.36,2379.36,2379.36,2379.36,2379.36,10000000000
2021-04-23,2378.69,2378.69,2378.69,2378.69,2378.69,10000000000
2021-04-30,2383.53,2383.53,2383.53,2383.53,2383.53,10000000000
2021-05-07,2390.52,2390.52,2390.52,2390.52,2390.52,10000000000
2021-05-14,2384.16,2384.16,2384.16,2384.16,2384.16,10000000000
2021-05-21,2382.07,2382.07,2382.07,2382.07,2382.07,10000000000
