Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1455.22,1455.22,1455.22,1455.22,1455.22,10000000000
2000-01-04,1399.42,1399.42,1399.42,1399.42,1399.42,10000000000
2000-01-05,1402.11,1402.11,1402.11,1402.11,1402.11,10000000000
2000-01-06,1403.45,1403.45,1403.45,1403.45,1403.45,10000000000
2000-01-07,1441.47,1441.47,1441.47,1441.47,1441.47,10000000000
2000-01-10,1457.6,1457.6,1457.6,1457.6,1457.6,10000000000
2000-01-11,1438.5601,1438.5601,1438.5601,1438.5601,1438.5601,10000000000
2000-01-12,1432.25,1432.25,1432.25,1432.25,1432.25,10000000000
2000-01-13,1449.6801,1449.6801,1449.6801,1449.6801,1449.6801,10000000000
2000-01-14,1465.15,1465.15,1465.15,1465.15,1465.15,10000000000
2000-01-18,1455.14,1455.14,1455.14,1455.14,1455.14,10000000000
2000-01-19,1455.9,1455.9,1455.9,1455.9,1455.9,10000000000
2000-01-20,1445.5699,1445.5699,1445.5699,1445.5699,1445.5699,10000000000
2000-01-21,1441.36,1441.36,1441.36,1441.36,1441.36,10000000000
2000-01-24,1401.53,1401.53,1401.53,1401.53,1401.53,10000000000
2000-01-25,1410.03,1410.03,1410.03,1410.03,1410.03,10000000000
2000-01-26,1404.09,1404.09,1404.09,1404.09,1404.09,10000000000
2000-01-27,1398.5601,1398.5601,1398.5601,1398.5601,1398.5601,10000000000
2000-01-28,1360.16,1360.16,1360.16,1360.16,1360.16,10000000000
2000-01-31,1394.46,1394.46,1394.46,1394.46,1394.46,10000000000
2000-02-01,1409.28,1409.28,1409.28,1409.28,1409.28,10000000000
2000-02-02,1409.12,1409.12,1409.12,1409.12,1409.12,10000000000
2000-02-03,1424.97,1424.97,1424.97,1424.97,1424.97,10000000000
2000-02-04,1424.37,1424.37,1424.37,1424.37,1424.37,10000000000
2000-02-07,1424.24,1424.24,1424.24,1424.24,1424.24,10000000000
2000-02-08,1441.72,1441.72,1441.72,1441.72,1441.72,10000000000
2000-02-09,1411.71,1411.71,1411.71,1411.71,1411.71,10000000000
2000-02-10,1416.83,1416.83,1416.83,1416.83,1416.83,10000000000
2000-02-11,1387.12,1387.12,1387.12,1387.12,1387.12,10000000000
2000-02-14,1389.9399,1389.9399,1389.9399,1389.9399,1389.9399,10000000000
2000-02-15,1402.05,1402.05,1402.05,1402.05,1402.05,10000000000
2000-02-16,1387.67,1387.67,1387.67,1387.67,1387.67,10000000000
2000-02-17,1388.26,1388.26,1388.26,1388.26,1388.26,10000000000
2000-02-18,1346.09,1346.09,1346.09,1346.09,1346.09,10000000000
2000-02-22,1352.17,1352.17,1352.17,1352.17,1352.17,10000000000
2000-02-23,1360.6899,1360.6899,1360.6899,1360.6899,1360.6899,10000000000
2000-02-24,1353.4301,1353.4301,1353.4301,1353.4301,1353.4301,10000000000
2000-02-25,1333.36,1333.36,1333.36,1333.36,1333.36,10000000000
2000-02-28,1348.05,1348.05,1348.05,1348.05,1348.05,10000000000
2000-02-29,1366.42,1366.42,1366.42,1366.42,1366.42,10000000000
2000-03-01,1379.1899,1379.1899,1379.1899,1379.1899,1379.1899,10000000000
2000-03-02,1381.76,1381.76,1381.76,1381.76,1381.76,10000000000
2000-03-03,1409.17,1409.17,1409.17,1409.17,1409.17,10000000000
2000-03-06,1391.28,1391.28,1391.28,1391.28,1391.28,10000000000
2000-03-07,1355.62,1355.62,1355.62,1355.62,1355.62,10000000000
2000-03-08,1366.7,1366.7,1366.7,1366.7,1366.7,10000000000
2000-03-09,1401.6899,1401.6899,1401.6899,1401.6899,1401.6899,10000000000
2000-03-10,1395.0699,1395.0699,1395.0699,1395.0699,1395.0699,10000000000
2000-03-13,1383.62,1383.62,1383.62,1383.62,1383.62,10000000000
2000-03-14,1359.15,1359.15,1359.15,1359.15,1359.15,10000000000
2000-03-15,1392.14,1392.14,1392.14,1392.14,1392.14,10000000000
2000-03-16,1458.47,1458.47,1458.47,1458.47,1458.47,10000000000
2000-03-17,1464.47,1464.47,1464.47,1464.47,1464.47,10000000000
2000-03-20,1456.63,1456.63,1456.63,1456.63,1456.63,10000000000
2000-03-21,1493.87,1493.87,1493.87,1493.87,1493.87,10000000000
2000-03-22,1500.64,1500.64,1500.64,1500.64,1500.64,10000000000
2000-03-23,1527.35,1527.35,1527.35,1527.35,1527.35,10000000000
2000-03-24,1527.46,1527.46,1527.46,1527.46,1527.46,10000000000
2000-03-27,1523.86,1523.86,1523.86,1523.86,1523.86,10000000000
2000-03-28,1507.73,1507.73,1507.73,1507.73,1507.73,10000000000
2000-03-29,1508.52,1508.52,1508.52,1508.52,1508.52,10000000000
2000-03-30,1487.92,1487.92,1487.92,1487.92,1487.92,10000000000
2000-03-31,1498.58,1498.58,1498.58,1498.58,1498.58,10000000000
2000-04-03,1505.97,1505.97,1505.97,1505.97,1505.97,10000000000
2000-04-04,1494.73,1494.73,1494.73,1494.73,1494.73,10000000000
2000-04-05,1487.37,1487.37,1487.37,1487.37,1487.37,10000000000
2000-04-06,1501.34,1501.34,1501.34,1501.34,1501.34,10000000000
2000-04-07,1516.35,1516.35,1516.35,1516.35,1516.35,10000000000
2000-04-10,1504.46,1504.46,1504.46,1504.46,1504.46,10000000000
2000-04-11,1500.59,1500.59,1500.59,1500.59,1500.59,10000000000
2000-04-12,1467.17,1467.17,1467.17,1467.17,1467.17,10000000000
2000-04-13,1440.51,1440.51,1440.51,1440.51,1440.51,10000000000
2000-04-14,1356.5601,1356.5601,1356.5601,1356.5601,1356.5601,10000000000
